video_id,video_title,views,likes,comments,category
v1,Dress styling tips,555434,24759,1972,Travel
v2,Street food vlog,126360,5876,376,Education
v3,Simple makeup tutorial,657260,8300,615,Travel
v4,Coding interview questions,704725,9930,1964,Entertainment
v5,Python tutorial for beginners,728139,4721,632,Fashion
v6,Meditation for stress,33293,501,92,Food
v7,Comedy video compilation,136622,5594,61,Health
v8,Top 10 travel destinations,501844,9364,1420,Fashion
v9,Meditation for stress,463145,21879,3506,Education
v10,Laptop review 2024,30130,987,58,Entertainment
v11,iPhone 15 unboxing,392729,8571,1343,Education
v12,Bollywood songs mashup,39408,1388,60,Health
v13,Simple makeup tutorial,766915,2958,439,Entertainment
v14,Bollywood songs mashup,798877,2487,79,Gaming
v15,iPhone 15 unboxing,743332,18479,2594,Gaming
v16,Healthy diet plan,352753,10857,1774,Education
v17,Study motivation tips,227018,4694,493,Travel
v18,Study motivation tips,598307,18064,1956,Gaming
v19,Dress styling tips,240269,8523,1391,Health
v20,GTA 5 gameplay,791811,27505,3908,Technology
v21,Daily yoga routine,833614,12581,863,Entertainment
v22,Street food vlog,413663,20226,2675,Food
v23,Coding interview questions,44087,652,70,Gaming
v24,Bollywood songs mashup,189449,5220,268,Education
v25,Comedy video compilation,511738,16265,2308,Entertainment
v26,Dress styling tips,216346,3940,140,Health
v27,Weight loss workout,841525,14631,1851,Travel
v28,Comedy video compilation,490536,21404,2045,Gaming
v29,iPhone 15 unboxing,305573,9566,1282,Technology
v30,Android phone review,552756,19868,3775,Technology
v31,Study motivation tips,883098,42873,7332,Gaming
v32,Dress styling tips,455559,8071,368,Education
v33,Bollywood songs mashup,440388,18919,2838,Entertainment
v34,Comedy video compilation,286694,7045,616,Technology
v35,Bollywood songs mashup,454523,3991,278,Education
v36,Pubg gameplay highlights,153325,4909,258,Fashion
v37,AI tools explained,780471,29889,2273,Food
v38,Top 10 travel destinations,727794,3782,350,Health
v39,AI tools explained,54658,2267,159,Health
v40,AI tools explained,314403,3309,278,Entertainment
v41,Coding interview questions,23063,860,158,Education
v42,Study motivation tips,188134,6027,454,Travel
v43,Healthy diet plan,150069,4607,570,Technology
v44,Laptop review 2024,138437,6112,1097,Travel
v45,Comedy video compilation,324605,15018,703,Fashion
v46,Laptop review 2024,627852,11605,635,Health
v47,GTA 5 gameplay,370227,7884,1576,Gaming
v48,Quick breakfast recipes,82269,1063,66,Technology
v49,GTA 5 gameplay,477657,3587,361,Technology
v50,Dress styling tips,865649,11766,2327,Gaming
v51,iPhone 15 unboxing,360989,4558,404,Travel
v52,Android phone review,855127,27708,2177,Education
v53,Street food vlog,385626,17404,379,Entertainment
v54,Meditation for stress,372816,11886,1950,Gaming
v55,AI tools explained,73486,3010,498,Health
v56,Dress styling tips,28911,815,151,Education
v57,Laptop review 2024,591195,1116,196,Gaming
v58,Quick breakfast recipes,234126,4650,454,Gaming
v59,Healthy diet plan,483649,5943,403,Food
v60,Simple makeup tutorial,329108,16283,2089,Technology
v61,Bollywood songs mashup,687005,2390,395,Food
v62,Daily yoga routine,812496,11033,1461,Entertainment
v63,Laptop review 2024,546162,9795,1485,Food
v64,Python tutorial for beginners,873046,7758,939,Technology
v65,Python tutorial for beginners,687308,19526,1478,Food
v66,Bollywood songs mashup,837934,11271,1665,Health
v67,Healthy diet plan,405587,19265,1093,Gaming
v68,AI tools explained,731461,21732,1770,Entertainment
v69,Python tutorial for beginners,889543,26483,4270,Gaming
v70,Simple makeup tutorial,473135,22875,3319,Fashion
v71,Meditation for stress,341918,1875,187,Education
v72,Bollywood songs mashup,224671,3265,263,Technology
v73,Study motivation tips,253491,3091,419,Technology
v74,Python tutorial for beginners,567635,9223,409,Health
v75,AI tools explained,359389,3471,603,Travel
v76,Daily yoga routine,98309,2050,372,Technology
v77,AI tools explained,199853,7263,183,Fashion
v78,Simple makeup tutorial,711090,5421,206,Entertainment
v79,Study motivation tips,547043,12847,835,Entertainment
v80,Top 10 travel destinations,594824,19904,3256,Travel
v81,Laptop review 2024,606625,20740,106,Fashion
v82,Healthy diet plan,489084,18738,3528,Food
v83,GTA 5 gameplay,66347,1619,208,Gaming
v84,Simple makeup tutorial,151604,1658,197,Health
v85,Comedy video compilation,72280,1838,358,Food
v86,Python tutorial for beginners,270663,5467,309,Health
v87,Android phone review,278435,5754,876,Gaming
v88,Android phone review,109403,2178,102,Entertainment
v89,Meditation for stress,222758,10226,191,Travel
v90,Coding interview questions,266703,1501,112,Technology
v91,Dress styling tips,344742,13291,1860,Technology
v92,iPhone 15 unboxing,41820,772,131,Food
v93,Quick breakfast recipes,66032,1736,89,Entertainment
v94,Study motivation tips,800314,3112,428,Health
v95,Street food vlog,450462,3322,74,Education
v96,Dress styling tips,139651,1890,208,Fashion
v97,Pubg gameplay highlights,127609,3062,356,Travel
v98,Pubg gameplay highlights,144094,4583,692,Food
v99,Laptop review 2024,630905,12932,768,Education
v100,Street food vlog,564095,13543,318,Fashion
v101,Street food vlog,293376,2878,330,Fashion
v102,Street food vlog,880239,1595,250,Fashion
v103,Street food vlog,216113,5489,496,Gaming
v104,Street food vlog,354793,7649,718,Entertainment
v105,Coding interview questions,368914,13348,1794,Health
v106,Simple makeup tutorial,814841,1888,157,Food
v107,Healthy diet plan,780835,10543,976,Education
v108,GTA 5 gameplay,233717,1773,239,Travel
v109,Daily yoga routine,656319,32016,3251,Food
v110,Daily yoga routine,683508,8088,357,Travel
v111,Android phone review,216359,8607,418,Technology
v112,Healthy diet plan,210130,10332,989,Gaming
v113,Android phone review,814832,40131,1076,Travel
v114,AI tools explained,841426,2444,296,Education
v115,Python tutorial for beginners,422004,18729,3581,Education
v116,Python tutorial for beginners,39358,1782,317,Gaming
v117,Pubg gameplay highlights,141405,5247,555,Gaming
v118,Weight loss workout,368475,16917,989,Health
v119,Healthy diet plan,655015,4731,358,Food
v120,Bollywood songs mashup,754947,36176,7195,Entertainment
v121,Simple makeup tutorial,848217,25844,2062,Education
v122,Python tutorial for beginners,678013,12189,1169,Food
v123,Study motivation tips,592482,18896,403,Technology
v124,Simple makeup tutorial,896096,2584,460,Travel
v125,Android phone review,488198,3695,663,Fashion
v126,Pubg gameplay highlights,811995,8555,469,Entertainment
v127,Pubg gameplay highlights,641975,7444,392,Health
v128,AI tools explained,332963,8074,666,Health
v129,iPhone 15 unboxing,570839,28478,1993,Fashion
v130,Healthy diet plan,420391,5776,535,Gaming
v131,Dress styling tips,135849,1478,202,Food
v132,Quick breakfast recipes,563159,3517,243,Education
v133,Pubg gameplay highlights,847361,704,121,Technology
v134,Quick breakfast recipes,160084,2760,285,Gaming
v135,Weight loss workout,751640,9959,592,Entertainment
v136,GTA 5 gameplay,556931,13705,2307,Entertainment
v137,Healthy diet plan,711054,1522,200,Travel
v138,AI tools explained,429009,17879,2625,Health
v139,Python tutorial for beginners,485914,13565,1071,Technology
v140,AI tools explained,694576,13732,51,Food
v141,Android phone review,777211,1896,327,Gaming
v142,Quick breakfast recipes,630854,1190,196,Education
v143,Dress styling tips,633853,17615,2501,Gaming
v144,Pubg gameplay highlights,896522,40575,832,Entertainment
v145,Android phone review,893172,22583,730,Gaming
v146,Healthy diet plan,754152,4428,379,Health
v147,Comedy video compilation,54809,1326,57,Fashion
v148,Pubg gameplay highlights,801229,35858,3069,Health
v149,Top 10 travel destinations,595900,20501,1517,Fashion
v150,iPhone 15 unboxing,611103,24766,4940,Education
